,preco_focco_id,cod_item,cod_preven,tabela_descricao,produto,modulacao,comp_modulo,prof_produto,alt_modulo,tipo_acab,embalagem,base_pe,faixa,configuracao,resp,formula,preco
244810,12261690,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA METALIZADO,SEM CX MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#LAMINADO ESPECIAL#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAMINADO ESPECIAL|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,3846.0
244811,12261716,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA METALIZADO,SEM CX MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#LAQUEADA#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,3796.0
244812,12261717,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA MTX,CAIXA MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#LAQUEADA#PINTURA MTX#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:CAIXA MADEIRA,,3730.0
244813,12261719,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA MTX,SEM CX MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#LAQUEADA#PINTURA MTX#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:SEM CX MADEIRA,,3537.0
244814,12261720,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA FOSCA,CAIXA MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#MARMORE#PINTURA FOSCA#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:CAIXA MADEIRA,,4104.0
244815,12261722,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA FOSCA,SEM CX MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#MARMORE#PINTURA FOSCA#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:SEM CX MADEIRA,,3910.0
244816,12261723,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA METALIZADO,CAIXA MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#MARMORE#PINTURA METALIZADO#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:CAIXA MADEIRA,,4104.0
244817,12261725,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA METALIZADO,SEM CX MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#MARMORE#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,3910.0
244818,12261726,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA MTX,CAIXA MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#MARMORE#PINTURA MTX#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:CAIXA MADEIRA,,3860.0
244819,12261727,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,0.42M,PINTURA MTX,SEM CX MADEIRA,,B,BANCO#SEM#1.58M#0.45M#SIM#0.42M#FX B#LAQUEADA#MARMORE#PINTURA MTX#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:SEM CX MADEIRA,,3666.0
244820,12257221,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA MTX,SEM CX MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#MARMORE#PINTURA MTX#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:SEM CX MADEIRA,,4151.0
244821,12257220,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA MTX,CAIXA MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#MARMORE#PINTURA MTX#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:CAIXA MADEIRA,,4345.0
244822,12257219,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA METALIZADO,SEM CX MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#MARMORE#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,4525.0
244823,12257217,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA METALIZADO,CAIXA MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#MARMORE#PINTURA METALIZADO#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:CAIXA MADEIRA,,4719.0
244824,12257216,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA FOSCA,SEM CX MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#MARMORE#PINTURA FOSCA#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:SEM CX MADEIRA,,4525.0
244825,12257215,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA FOSCA,CAIXA MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#MARMORE#PINTURA FOSCA#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:CAIXA MADEIRA,,4719.0
244826,12257213,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA MTX,SEM CX MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#LAQUEADA#PINTURA MTX#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:SEM CX MADEIRA,,3961.0
244827,12257212,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA MTX,CAIXA MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#LAQUEADA#PINTURA MTX#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:CAIXA MADEIRA,,4154.0
244828,12257211,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA METALIZADO,SEM CX MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#LAQUEADA#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,4356.0
244829,12257209,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA METALIZADO,CAIXA MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#LAQUEADA#PINTURA METALIZADO#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:CAIXA MADEIRA,,4550.0
244830,12257208,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA FOSCA,SEM CX MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#LAQUEADA#PINTURA FOSCA#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:SEM CX MADEIRA,,4356.0
244831,12257206,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.58M,0.45M,1.65M,PINTURA FOSCA,CAIXA MADEIRA,,B,BANCO#COM#1.58M#0.45M#SIM#1.65M#FX B#LAQUEADA#LAQUEADA#PINTURA FOSCA#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:COM|COMP_MODULO:1.58M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:1.65M|FX_TEC:FX B|TP_ACAB_TAMPO:LAQUEADA|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:CAIXA MADEIRA,,4550.0
