,id_x,codigo,produto_x,modulacao,descricao,comprimento,profundidade,altura,acabamento,embalagem,id_y,produto_y,marca,classificacao,aceita_bronze,detalhes,id,variante_id,faixa,faixa_caixa,preco,qtd_tecido,qtd_tecido_caixa,qtd_tecido_total
0,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583153.0,1.0,B,,5443.0,6.73,0.0,6.73
1,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583159.0,1.0,C,,5607.0,6.73,0.0,6.73
2,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583165.0,1.0,D,,5828.0,6.73,0.0,6.73
3,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583171.0,1.0,E,,5939.0,6.73,0.0,6.73
4,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583183.0,1.0,F,,6059.0,6.73,0.0,6.73
5,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583189.0,1.0,G,,6270.0,6.73,0.0,6.73
6,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583197.0,1.0,H,,6712.0,6.73,0.0,6.73
7,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583210.0,1.0,I,,7316.0,6.73,0.0,6.73
8,1,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583224.0,1.0,J,,9222.0,6.73,0.0,6.73
9,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583154.0,2.0,B,,5203.0,6.73,0.0,6.73
10,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583160.0,2.0,C,,5366.0,6.73,0.0,6.73
11,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583166.0,2.0,D,,5588.0,6.73,0.0,6.73
12,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583172.0,2.0,E,,5699.0,6.73,0.0,6.73
13,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583184.0,2.0,F,,5819.0,6.73,0.0,6.73
14,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583190.0,2.0,G,,6030.0,6.73,0.0,6.73
15,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583200.0,2.0,H,,6472.0,6.73,0.0,6.73
16,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583213.0,2.0,I,,7076.0,6.73,0.0,6.73
17,2,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA FOSCA,SEM CX MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583226.0,2.0,J,,8981.0,6.73,0.0,6.73
18,3,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA METALIZADO,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583155.0,3.0,B,,5443.0,6.73,0.0,6.73
19,3,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA METALIZADO,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583161.0,3.0,C,,5607.0,6.73,0.0,6.73
20,3,20001,ADANA,CTO + PUFF BI,ADANA MOD: CTO + PUFF BI COMP: 0.97M + 0.80M PROF: 0.97M,0.97M + 0.80M,0.97M,,BASE: PINTURA METALIZADO,CAIXA MADEIRA,974.0,ADANA,CENTURY,SOFAS LIVING,1.0,,11583167.0,3.0,D,,5828.0,6.73,0.0,6.73
